filename,class,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,zcr,f0_mean,energy
tremor_signal1.mp3,tremor,4.51139039650441,-6.39095773815505,-0.188911793883182,-0.0989831303972031,0.0646967107705855,-0.0377695940320112,0.0259058773458723,-0.120548459023495,-0.0341038185401276,-0.0429331780147846,0.0176696431666097,-0.0853051668789892,-0.0117159293519629,0.489016716929148,135.629673644756,0.627316317292446
tremor_signal10.mp3,tremor,4.53625847283225,-6.6314578696553,-0.286237847741451,-0.00954794920464065,0.0939440078198534,0.027517999075274,0.0235087509994392,-0.00152830662106067,-0.011041302802327,-0.0551711571690297,-0.0615695045229374,-0.0557103917036466,-0.0727688020427208,0.489237922908601,150.945331535201,0.637069457219137
tremor_signal2.mp3,tremor,4.51043641844354,-8.71693986749827,-0.980931135091443,-0.082551180510731,-0.0221091061839086,-0.0440211906535698,-0.0665884482061941,-0.0935977257175721,-0.0893920724008718,-0.1019194637291,-0.140516996196757,-0.0109515490700329,-0.108691847080706,0.487389280888755,142.863898918113,0.631952862779182
tremor_signal3.mp3,tremor,6.27253274614237,-5.6363104695437,1.16501352244655,-1.16370865527966,0.399201770575297,-0.199674392060178,0.133950516524451,-0.213284155803246,-0.0293452130811245,-0.202594708553546,-0.117858477432901,-0.232079379965761,-0.12862728172081,0.13575546872007,111.846595016831,0.640892390184897
tremor_signal4.mp3,tremor,6.26123295477662,-7.35380428292396,-0.0523773868007364,-0.312142553503721,0.810396265178061,0.197905001197228,0.471303092212965,0.254922808269181,0.288065982618504,0.0605946864247112,0.331160641372528,0.663704571341609,1.24719291892702,0.168442044846539,213.063031260415,0.640116151313
tremor_signal5.mp3,tremor,6.07988594570734,-11.759940398354,-1.82030359988022,0.324878625467783,0.257056619060064,0.583029403545051,0.0755373557112032,-1.2465374239151,-1.99850259076606,-0.943184854586151,0.196912364414512,-0.660541166423648,-1.90907485568044,0.418737044714243,500,0.586412540776388
tremor_signal6.mp3,tremor,6.03021947235136,-12.0096967274005,-1.91953854323382,0.493491180870586,0.271605435277426,0.578918103471587,0.0386632253415465,-1.22819441509837,-1.93381573222375,-0.963400500694217,0.193270280126715,-0.660973230087613,-1.8822378707667,0.456349247427589,500,0.568718671284294
tremor_signal7.mp3,tremor,6.16730574056745,-8.79723656440023,-0.637229054317315,0.296046283372459,0.258992402065232,0.340114578064799,0.598006822803786,0.871116605779979,0.954344694440504,0.479687456103795,-0.566317411700877,-1.60241662873794,-1.05358028699945,0.330879956545356,329.106959527442,0.61393652111703
tremor_signal8.mp3,tremor,4.48067143534877,-10.1327563500286,-0.71142203088097,0.203251967415003,0.496535844033742,0.0238093768119049,0.865028570769985,-0.150688865293657,0.536533844827517,0.280599873940619,1.48570674355351,1.4611368345283,1.64402768030123,0.479845409767966,210.42457954989,0.626304388508749
tremor_signal9.mp3,tremor,4.4730349854002,-10.135944950008,-0.711760058831659,0.218618797174401,0.487641136242504,0.0289516518941032,0.850687052317561,-0.160225792337629,0.5443933815705,0.281367097225286,1.48520116890866,1.46372125627947,1.65076791157466,0.479260190339379,210.346598113171,0.62608701771968
